id	stageLv	stageQuestion	stageTips	stageWin
1	1	哪个最大？	大呀大西瓜	你真棒！
2	2	数一数有几只鸭子	有小鸡混入在里面了	叽叽喳喳叽叽
3	3	谁最高？	太阳才是最高的哦！	看来你仔细审题了！
4	4	找出与众不同的西瓜	有些不同的西瓜可能藏在其他西瓜的底下	干得好，漂亮
5	5	制造一个长宽不相等的长方形	正方形拖出屏幕一半就变成长方形了	还不错！接下来这道题你能想到吗？
6	6	数一下下面有有多少个三角形?	11个	哟呵！这也能算出来！看来得来个厉害的才行了！
7	7	找出最大的火堆	火上加火！	众人拾柴火焰高
8	8	你的车停在几号车位？	把车移开，就知道车位号了！	是不是感觉智商上了一个台阶。
9	9	严肃点，你对这个游戏打多少分？	满分当然最好啦，有任何好点子也欢迎随时告诉我们哦！	谢谢你的支持与鼓励！我们会继续努力哒！
10	10	叫醒猫头鹰	猫头鹰晚上才醒，要不把太阳先挪走？	不错，越来越清楚我们的套路啦！
11	11	请根据计算给出答案	你再仔细想想4+5等于几！	嘿嘿，前面的都是误导啦！
12	12	依次点击水果，然后顺序点击六边形，圆形，矩形	看清楚，有一个可不是水果	读懂题目很重要的
13	13	这关必须赢！轮到你了|小明：|你：	两只手同时填充不同的地方让你的棋子成一条直线	咦？你刚刚是不是作弊了
14	14	找小鸡	小鸡们都躲到鸡妈妈后面啦，甩一甩鸡妈妈	这个调皮的小鸡！
15	15	找到最深的颜色	别忘记了标题的颜色哦	干得漂亮！
16	16	数数有几根头发	男孩儿戴了假发，把假发往上滑动就能出现真头发啦	现在年轻人戴假发这么早的吗..
17	17	帮助小鸭喝到水	地上就有水，不要再死劲儿填瓶子啦	我想起了另一个喝水的故事
18	18	来个简单点的吧！让等式成立	移动1下面的横杠到？下面是不是可以组成2啊	哈哈哈我就说嘛，小学生都会的题！
19	19	哪一个可以吃呢？	哪两个可以组合出肉片啊？	咦，肉片原来是这样做出的
20	20	森林周年运动会开始了，小兔，小猴和小马赛跑，请帮助小兔让它获胜吧！	用手拖住小马和小猴，让小兔直冲终点！	啊！小兔作弊！
